Arrondissement,Texte
1st,"The1st arrondissement of Paris(Ierarrondissement) is one of the 20arrondissementsof the capital city ofFrance. In spoken French, this arrondissement is colloquially referred to asle premier(the first). It is governed locally together with the2nd,3rdand4th arrondissement, with which it forms the 1st sector of Paris (Paris-Centre).
Also known asLouvre, the arrondissement is situated principally on theright bankof theRiver Seine. It also includes the west end of theÎle de la Cité. The locality is one of the oldest areas in Paris, the Île de la Cité having been the heart of the city ofLutetia, conquered by theRomansin 52 BC, while some parts on the right bank (includingLes Halles) date back to the earlyMiddle Ages.
It is the least populated of the city's arrondissements and one of the smallest by area, with a land area of only 1.83 km2(0.705 sq. miles, or 451 acres). A significant part of the area is occupied by theLouvre Museumand theTuileries Gardens. The Forum des Halles is the largest shopping mall in Paris.[2]Much of the remainder of the arrondissement is dedicated to business and administration.
The area now occupied by the first arrondissement attained its peak population in the period preceding the re-organization of Paris in 1860. In 1999, the population was 16,888, while the arrondissement hosted 63,056 jobs, making it one of the most active for business after the2nd,8th, and9th.
1The peak of population actually occurred before 1861, but the arrondissement was created in 1860, so there are no figures before 1861.
2An immigrant is a person born in a foreign country not having French citizenship at birth. An immigrant may have acquired French citizenship since moving to France, but is still considered an immigrant in French statistics. On the other hand, persons born in France with foreign citizenship (the children of immigrants) are not listed as immigrants.
Each of the 20 Paris arrondissements is divided into four quarters (quartiers). The table below lists the four quarters of the 1st arrondissement:
figures from 1999 French census
Korean Air's France office is in the 1st arrondissement.[3]
At one timeAir Inter's head office was located in the first arrondissement.[4]WhenMinerve, an airline, existed, its head office was in the first arrondissement.[5]
In terms of state-operated schools, the first arrondissement has two nursery schools (écoles maternelles), two primary schools (écoles élémentaires), oneécole polyvalente, one high school (collège), and one sixth-form college (lycée).[6]
The state-operated nursery schools areÉcole Maternelle AuxerroisandÉcole Maternelle Sourdiere.[6]The state-operated primary schools areÉcole Élémentaire Arbre SecandÉcole Élémentaire D'Argenteuil.[6][7]The arrondissement has oneécole polyvalente,École Polyvalente Cambon.[8]Collège Jean-Baptiste Poquelinis the sole state-operated high school in the arrondissement.[9]Lycée Professionnel Commercial Pierre Lescotis the sole state-operated sixth-form college in the first arrondissement.[10]Private primary and secondary institutions in the arrondissement includeÉcole Élémentaire Privée Notre-Dame-Saint-Roch,École du 2nd Degré Professionnel Privée Pigier, andÉcole Technologique Privée de Dessin Technique et Artistique Sornas.[6]"
2nd,"The2nd arrondissement of Paris(IIearrondissement) is one of the 20arrondissementsof the capital city ofFrance. In spoken French, this arrondissement is colloquially referred to asdeuxième(second/the second). It is governed locally together with the1st,3rdand4th arrondissement, with which it forms the 1st sector of Paris.
Also known as Bourse, this arrondissement is located on theright bankof theRiver Seine. The 2nd arrondissement, together with the adjacent8thand9tharrondissements, hosts an important business district, centred on theParis Opéra, which houses the city's most dense concentration of business activities. The arrondissement contains the formerParis Bourse(stock exchange) and several banking headquarters, as well as a textile district, known as theSentier, and theOpéra-Comique's theatre, theSalle Favart. The 2nd arrondissement is the home of Grand Rex, the largest movie theater in Paris.[2]
The 2nd arrondissement is also the home of most of Paris's surviving 19th-century glazed commercial arcades. At the beginning of the 19th century, most of the streets of Paris were dark, muddy, and lackedsidewalks. A few entrepreneurs copied the success of thePassage des Panoramasand its well-lit, dry, and paved pedestrian passageways. By the middle of the 19th century, there were about two dozen of these commercial malls, but most of them disappeared as the Paris authorities paved the main streets and added sidewalks, as well as gasstreet lighting. The commercial survivors are – in addition to the Passage des Panoramas – theGalerie Vivienne, thePassage Choiseul, theGalerie Colbert, thePassage des Princes, thePassage du Grand Cerf, thePassage du Caire, thePassage Lemoine, thePassage Jouffroy, thePassage Basfour, thePassage du Bourg-L'abbé, and thePassage du Ponceau.
The 2nd arrondissement is Paris's smallest arrondissement, with a land area of just 0.992 km2, or 99.2 hectares (0.383 sq. miles, or 245 acres).
The 2nd arrondissement reached its peak of settlement in the years before 1861, although it has only existed in its current shape since the re-organization of Paris in 1860. As of the last census (in 1999), the population was 19,585, while the number of jobs provided there was 61,672 – this despite a land area of only 0.992 km2, making it the arrondissement with the densest concentration of commercial activity in the capital, with an average of 62,695 jobs per km2.
¹The peak of population actually occurred before 1861, but thearrondissement was created in 1860, so we do not have figures before 1861.
2An immigrant is a person born in a foreign country not having French citizenship at birth. An immigrant may have acquired French citizenship since moving to France, but is still considered an immigrant in French statistics. On the other hand, persons born in France with foreign citizenship (the children of immigrants) are not listed as immigrants.
The French newspaperL'Obshas its head office in the arrondissement.[3]Bourbonhas its head office in the arrondissement.[4]All Nippon Airwayshas its Paris Office in the  arrondissement.[5]China Airlinesalso has its France office in the arrondissement.[6]
Aigle Azur'sregistered officeis in the arrondissement.[7]
In terms of state-operated schools, the second arrondissement has three nursery schools (écoles maternelles), five primary schools (écoles élémentaires),  and one high school (lycée).[8]
The nursery schools areÉcole Maternelle Dussoubs,École Maternelle Saint Denis, andÉcole Maternelle Vivienne.[8]The primary schools areÉcole Élémentaire Beauregard,École Élémentaire Dussoubs,École Élémentaire Etienne Marcel,École Élémentaire Jussienne, andÉcole Élémentaire Louvois.[8]Collège César Franckis the sole state-operated high school in the arrondissement.[9]
École Élémentaire Privée Saint-Sauveuris the sole private primary school institution in the second arrondissement. Private secondary school institutions includeÉcole du 2nd Degré Général Privée Rene Reaumur,École Générale et Technologique Privée Lafayette,École du 2nd degré professionnel privée CTRE PRI ENS SOINS ESTHETIQUES,École du 2nd degré professionnel privée EC INTERNATIONALE DE COIFFURE,École du 2nd degré professionnel privée ECOLE DE BIJOUTERIE-JOAILLERIE, andÉcole technologique privée ITECOM INST TECHN COMMUNIC.[8]
There are several streets with anEgyptianconnection in the area, reflecting interest inNapoleon'sEgypt expeditionof 1798–1801: rue duNil, rue duCaire, passage du Caire, rue d'Aboukir, and rue d'Alexandrie.[10]"
3rd,"The3rd arrondissement of Paris(IIIearrondissement,French pronunciation:[tʁwɑzjɛmaʁɔ̃dismɑ̃]) is one of the 20arrondissements(districts) of the capital city ofFrance. In spoken French, this arrondissement is colloquially referred to as ""le troisième"" (French pronunciation:[lətʁwɑzjɛm]) meaning ""the third"". Its postal code is 75003. It is governed locally together with the1st,2ndand4tharrondissements, with which it forms the 1st sector of Paris,Paris Centre.
The arrondissement, sometimes known asTempleand situated on theright bankof theRiver Seine, is the smallest in area after the 2nd. It contains the quieter northern part of the medieval district ofLe Marais, while the more lively southern part, notably including thegay districtof Paris, is located within the 4th arrondissement.
The oldest surviving private house in Paris, built in 1407, is to be found in the 3rd arrondissement at 52rue de Montmorency.[2]
The ancient Jewish quarter, thePletzl(פלעצל, 'little place' inYiddish), which dates from the 13th century, begins in the eastern part of the 3rd arrondissement and extends into the 4th. It is home to theMusée d'Art et d'Histoire du Judaïsme('Museum of Jewish Art and History') and theAgoudas Hakehilos synagoguedesigned by the architectHector Guimard. Although fashionable boutiques now take up many of the storefronts, there are still landmark stores selling traditional Jewish foods.
A small but slowly expandingChinatown, inhabited by immigrants fromWenzhou, centers on the rue au Maire, near theConservatoire national des arts et métiersand theMusée des Arts et Métiers, partly housed in themedieval prioryofSaint-Martin-des-Champs.
With a land area of 1.2 km2[3](0.452 square miles, or 289 acres), the 3rd arrondissement ranks second smallest in the city.
It is situated in what is considered Central Paris on the right bank (rive droite) of the city. Its interior is mostly devoid of the largeHaussmannianboulevards included in many other arrondissements throughout the city.
The arrondissement includes a range of neighborhoods orquartiersmost of which date back to the Middle Ages. Most residents and locals refer to this area asTemple,Arts et Métiersor more generally,le Marais; however most of theMaraisdistrict is included in the 4th arrondissement, which it neighbors on its southern border.
The area now occupied by the third arrondissement attained its peak population in the period preceding the re-organization of Paris in 1860. In 1999, the population was 34,248, while the arrondissement hosted a total of 29,723 jobs.
¹The peak of population actually occurred before 1861, but thearrondissement was created in 1860, so we do not have figures before 1861.
2An immigrant is a person born in a foreign country not having French citizenship at birth. An immigrant may have acquired French citizenship since moving to France, but is still considered an immigrant in French statistics. On the other hand, persons born in France with foreign citizenship (the children of immigrants) are not listed as immigrants.
There are six public high-schools in the 3rd arrondissement, and no private high-schools.[4]
TheConservatoire national des arts et métiers(CNAM) has its main Paris campus in the area aroundthe métro stationto which it gives its name. Agrande école, CNAM provides university-level technical and professional qualifications to a student body of over 25,000.
There are 9 museums alone in the 3rd arrondissement as listed by the Paris office of tourism, however there are also many other smaller museums, as listed below.[5]
There are 6 smaller gardens throughout the 3rd arrondissement.[clarification needed][6]"
4th,"The4th arrondissement of Paris(IVearrondissement) is one of the twentyarrondissementsof Paris, the capital city ofFrance. In spoken French, this arrondissement is referred to asquatrième. Along with the1st,2ndand3rd arrondissements, it is in the first sector of Paris, which maintains a single local government rather than four separate ones.
The arrondissement, also known as Hôtel-de-Ville, is situated on theright bankof theRiver Seine. It contains theRenaissance-eraParis City Hall, rebuilt between 1874 and 1882.[2]It also contains the Renaissance square ofPlace des Vosges, the overtly modernPompidou Centre, and the lively southern part of the medieval district ofLe Marais, which today is known for being thegay districtof Paris. (The quieter northern part of Le Marais is within the3rd arrondissement). The eastern part of theÎle de la Cité(includingNotre-Dame de Paris) and all of theÎle Saint-Louisare also included within the 4th arrondissement.
The 4th arrondissement is known for its little streets, cafés, and shops but is often regarded by Parisians as expensive and congested.[citation needed]It has old buildings and a mix of many cultures.
With a land area of 1.601 km2(0.618 sq mi; 396 acres), the 4th arrondissement is the third smallest arrondissement in the city.
It is bordered to the west by the1st arrondissement, to the north by the3rd, to the east by the11thand12th, and to the south by the Seine and the5th.
The peak of population of the 4th arrondissement occurred before 1861, though the arrondissement was defined in its current shape only since the re-organization of Paris in 1860. In 1999, the population was 30,675, and the arrondissement hosted 41,424 jobs.
¹The peak of population in this area occurred before 1861, but thearrondissement was created in 1860, so there are not accurate figures before 1861.
2An immigrant is a person born in a foreign country not having French citizenship at birth. An immigrant may have acquired French citizenship since moving to France, but is still considered an immigrant in French statistics. On the other hand, persons born in France with foreign citizenship (the children of immigrants) are not listed as immigrants.
The Île de la Cité has been inhabited since the 1st century BC, when it was occupied by theParisiitribe of theGauls. TheRight Bankwas first settled in the 5th century.
Since the end of the 19th century,le Maraishas been populated by a significant Jewish population, the Rue des Rosiers being at the heart of its community. There are a handful ofkosherrestaurants, and Jewish institutions. Since the 1990s,gay culturehas influenced the arrondissement, with new residents opening a number of bars and cafés in the area by the town hall.
Lycée Charlemagneis located in the arrondissement, as well asHaredi Jewishinstitutions Yad Mordekhai.[3]
Metro stations within, partially or fully, the 4th arrondissement:"
5th,"The5th arrondissement of Paris(Vearrondissement) is one of the 20arrondissementsof the capital city ofFrance. In spoken French, this arrondissement is referred to asle cinquième.
The arrondissement, also known as Panthéon, is situated on theRive Gaucheof theRiver Seine. It is one of the capital's central arrondissements. The arrondissement is notable for being the location of theLatin Quarter, a district dominated by universities, colleges, and prestigious high schools since the 12th century when theUniversity of Pariswas created.[2]It is also home to theNational Museum of Natural HistoryandJardin des plantesin its eastern part.
The 5th arrondissement is also one of the oldest districts of the city, dating back toancient times. Traces of the area's past survive in such sites as theArènes de Lutèce, aRomanamphitheatre, as well as theThermes de Cluny, a Romanthermae.
The 5th arrondissement covers some 2.541 km2(0.981 sq. miles, or 628 acres) in central Paris.
The population of the arrondissement peaked in 1911 when the population density reached almost 50,000 inhabitants per km2. In 2009, the population was 61,531, while 48,909 worked in the arrondissement.
2An immigrant is a person born in a foreign country not having French citizenship at birth. An immigrant may have acquired French citizenship since moving to France, but is still considered an immigrant in French statistics. On the other hand, persons born in France with foreign citizenship (the children of immigrants) are not listed as immigrants.
The Vearrondissement is the oldest arrondissement in Paris, and was first built by the Romans.
The construction of the Roman townLutetiadates back to the 1st century BC, which was built after the conquest of theGaulishsite, situated on theîle de la Citéby theRomans.
Saint-Hilaireis a ruined 12th-century church in Paris, active until theFrench Revolution.
TheMinistry of Higher Education and Researchhas its head office in the arrondissement.[3]
Sony Computer Science Laboratories[ja](ソニーコンピュータサイエンス研究所) Paris is located in the arrondissement,[4]and theBureau d'Enquêtes sur les Événements de Mer(BEAmer) at one time had its head office there.[5]
As part of theLatin Quarter, the 5th arrondissement is known for its high concentration of educational and research establishments."
6th,"The6th arrondissement of Paris(VIearrondissement) is one of the 20arrondissementsof the capital city ofFrance. In spoken French, it is referred to asle sixième.
The arrondissement, called Luxembourg in a reference to theseatof theSenateand itsgarden, is situated on theRive Gaucheof theRiver Seine. It includes educational institutions such as theÉcole nationale supérieure des Beaux-Arts, theÉcole des hautes études en sciences socialesand theInstitut de France, as well as Parisian monuments such as theOdéon-Théâtre de l'Europe, thePont des Arts, which links the 1st and 6th arrondissements over the Seine,Saint-Germain AbbeyandSaint-Sulpice Church.
This central arrondissement, which includes the historic districts ofSaint-Germain-des-Prés(surrounding theabbeyfounded in the 6th century) and Luxembourg (surrounding thePalaceand itsGardens), has played a major role throughout Parisian history. It is well known for itscafé cultureand the revolutionaryexistentialismintellectualismof the authors that lived there, includingJean-Paul Sartre,Simone de Beauvoir,Gertrude Stein,Paul Éluard,Boris Vian,Albert CamusandFrançoise Sagan.
With its cityscape, intellectual tradition, history, architecture and central location, the arrondissement has long been home to Frenchintelligentsia. It is a major locale for art galleries and fashion stores[2]and is one of Paris's most expensive areas and one of France's richest districts in terms of average income. It is part of what is calledParis Ouest(Paris West) alongside the7th,8thand16th arrondissements, as well as theNeuilly-sur-Seineinner suburb.
The current 6th arrondissement, dominated by theAbbey of Saint-Germain-des-Prés—founded in the 6th century—was the heart of theCatholic Church's power in Paris for centuries, hosting many religious institutions.
In 1612,Queen Marie de Médicisbought an estate in the district and commissioned architectSalomon de Brosseto transform it into the outstandingLuxembourg Palacesurrounded by extensiveroyal gardens. The new Luxembourg Palace turned the neighbourhood into a fashionable district for French nobility.
In the aftermath of theFrench Revolution, architectJean-François-Thérèse Chalgrinwas commissioned to redesign the Luxembourg Palace in 1800 to make it the seat of the newly establishedSénat conservateur. Nowadays, the grounds around the Luxembourg Palace, known as the Senate Garden (Jardin du Sénat), are open to the public; they have become a prized Parisian garden across from the5th arrondissement'sPanthéon.
Since the 1950s, the arrondissement, with its many higher education institutions, cafés (Café de Flore,Les Deux Magots,La Palette,Café Procope) and publishing houses (Gallimard,Julliard,Grasset) has been the home of much of the major post-warintellectualand literary movements and some of most influential in history such assurrealism,existentialismand modernfeminism.
The land area of the arrondissement is 2.154 km2(0.832 sq mi), or 532 acres).
The arrondissement attained its peak population in 1911 when the population density reached nearly 50,000 inhabitants per km2. In 2009, the population was 43,143 inhabitants while the arrondissement provided 43,691 jobs.
Toei Animation Europehas its head office in the arrondissement. The company, which opened in 2004, serves France, Germany, Italy, Spain, and the United Kingdom.[3]
The 6th and 7th arrondissements are the most expensive districts of Paris, the most expensive parts of the 6th arrondissement beingSaint-Germain-des-Présquarter, the riverside districts and the areas nearby theLuxembourg Garden.
2An immigrant is a person born in a foreign country not having French citizenship at birth. An immigrant may have acquired French citizenship since moving to France, but is still considered an immigrant in French statistics. On the other hand, persons born in France with foreign citizenship (the children of immigrants) are not listed as immigrants."
7th,"The7th arrondissement of Paris(VIIearrondissement) is one of the 20arrondissementsof the capital city ofFrance. It is known for being, along with the 16th arrondissement and thecommuneof Neuilly-sur-Seine, the richest neighbourhood in France. In spoken French, this arrondissement is referred to asle septième.
The arrondissement, called Palais-Bourbon in a reference to the seat of theNational Assembly, includes some of the major and well-known tourist attractions of Paris, such as theEiffel Tower, theHôtel des Invalides(Napoleon's resting place), theChapel of Our Lady of the Miraculous Medal,[2]as well as a concentration of museums such as theMusée d'Orsay,Musée Rodinand theMusée du Quai Branly – Jacques Chirac.
Situated on theRive Gauche—the ""Left"" bank of theRiver Seine—this central arrondissement, which includes the historical aristocratic neighbourhood ofFaubourg Saint-Germain, contains a number of French national institutions, among them the National Assembly and numerousgovernment ministries. It is also home to many foreign diplomaticembassies, some of them occupying outstandinghôtels particuliers.
The arrondissement has been home to the Frenchupper classsince the 17th century, when it became the new residence of France's highestnobility. The district has been so fashionable within the Frencharistocracythat the phrasele Faubourg—referring to the ancient name of the current 7th arrondissement—has been used to describe French nobility ever since.[3]The 7th arrondissement of Paris andNeuilly-sur-Seineform the most affluent and prestigious residential area in France.[4]
During the 17th century, Frenchhigh nobilitystarted to move from the centralMarais, the then-aristocratic district of Paris wherenoblesused to build their urbanmansions[5](seeHotel de Soubise), to the clearer, less populated and less pollutedFaubourg Saint-Germain.
The district became so fashionable within the Frencharistocracythat the phrasele Faubourghas been used to describe French nobility ever since.[3]The oldest and most prestigious families of the French nobility built outstanding residences in the area, such as theHôtel Matignon, theHôtel de Salm, and theHôtel Biron.
After theRevolutionmany of thesemansions, offering magnificent inner spaces, many reception rooms and exquisite decoration, wereconfiscatedand turned into national institutions. The French expression""les ors de la Republique""(literally""the golds of the Republic""), refers to the luxurious environment of the national palaces (outstanding official residences and priceless works of art), comes from that time.
During theRestauration, theFaubourgrecovered its past glory as the most exclusivehigh nobilitydistrict of Paris and was the political heart of the country, home to theUltraParty. After the Fall ofCharles X, the district lost most of its political influence but remained the centre of the Frenchupper class'social life.
During the 19th century, the arrondissement hosted no fewer than fiveUniversal Exhibitions(1855,1867,1878,1889,1900) that have immensely impacted its cityscape. TheEiffel Towerand theOrsay buildingwere built for these Exhibitions (respectively in 1889 and 1900).
The arrondissement has a total land area of 4.088 km2(1.578 sq mi; 1,010 acres).
The 7th arrondissement attained its peak population in 1926 when it had 110,684 inhabitants. Because it is the location of so many French government bodies, this arrondissement has never been as densely populated as some of the others.[citation needed]In 1999, the population was 56,985, while the arrondissement provided 76,212 jobs.
2An immigrant is a person born in a foreign country not having French citizenship at birth. An immigrant may have acquired French citizenship since moving to France, but is still considered an immigrant in French statistics. On the other hand, persons born in France with foreign citizenship (the children of immigrants) are not listed as immigrants.
Important places include:
Air Liquide,[6]Alcatel-Lucent,[7]andValode & Pistrehave their head offices in this arrondissement.[8]
Public and private high schools:
Istituto Statale Italiano Leonardo Da Vinci, an Italian international school, maintains two campuses in the arrondissement.[9]TheAmerican University of Paris, a private liberal arts university, maintains several buildings near theQuai d'Orsay.[10]
TheMinistry of Agriculture, theMinistry of Foreign Affairsand theMinistry of National Educationhave their head offices in the arrondissement.
Politically, the arrondissement is situated firmly on the right. The mayor of the 7th,Rachida Dati, was Minister of Justice underNicolas Sarkozy's presidency and a member of the European Parliament for the centre-rightUMPfrom 2009 to 2019.[11][12]
In the2017 French presidential election, the 7th gave right-wing candidateFrançois Fillon52.7% of its votes in the first round, compared to his poor national showing of only 20%. It then went on to vote forEmmanuel Macronin the runoff by a landslide.
The arrondissement hosted theequestrianevents for the1900 Summer Olympics.[13]"
8th,"The8th arrondissement of Paris(VIIIearrondissement) is one of the 20arrondissementsof the capital city ofFrance. In spoken French, the arrondissement is colloquially referred to asle huitième(lit.'the eighth').
The arrondissement, called Élysée, is situated on theright bankof theRiver Seineand centered on theAvenue des Champs-Élysées. The 8th arrondissement is, together with the1st,9th,16thand17th arrondissements, one of Paris' main business districts. According to the 1999 census, it was the place of employment of more people than any other single arrondissement of the capital. It is also the location of many places of interest, among them theChamps-Élysées, theArc de Triomphe(partial) and thePlace de la Concorde, as well as theÉlysée Palace, the official residence and office of thePresident of France.
Most French fashion luxury brands have their main store in 8th arrondissement,Avenue MontaigneorRue du Faubourg Saint-Honoré, both in the Champs-Élysées Avenue shopping district.[2]As of 2019, the 8th arrondissement had a population of 35,655.
The land area of the arrondissement is 3.881 km2(1.498 sq mi; 959 acres).[citation needed]
The arrondissement had its highest population of 107,485 in 1891.
In 1999, it had almost a third of that number, with 39,310 residents. It is one of Paris' least densely populated arrondissements and contains 1.8% of the total population of Paris.[3]
2An immigrant is a person born in a foreign country not having French citizenship at birth. An immigrant may have acquired French citizenship since moving to France, but is still considered an immigrant in French statistics. On the other hand, persons born in France with foreign citizenship (the children of immigrants) are not listed as immigrants.
The head offices ofAXA,[4]Bouygues,[5]Électricité de France(EDF),[6]Eurazeo,[7]Ki-oon,[8]Sanofi-Aventis,Engie,[9]HSBC Continental Europe[10]andSuez Environnementare located in this arrondissement.[11]Standard & Poor's' France office is located in the 8th arrondissement.[12]Air ChinaandChina Southern Airlineshave their Paris offices in the arrondissement.[13][14]
At one time, the head office ofUnion des Transports Aérienswas located in this arrondissement.[15]The predecessor airline,Union Aéromaritime de Transport, also had its head office in the 8th arrondissement.[16]WhenSuezexisted, its head office was in the 8th arrondissement.[17]WhenUnibailexisted, its head office was in the 8th arrondissement.[18]At one time,Groupe Danonehad its head office in the 8th arrondissement.[19]At one time,Alcatel-Lucent's head office was located in the 8th arrondissement.[20][21]At one time,Northwest Airlineshad its Paris offices in theMadeleinestation.[22]At one time,All Nippon Airwaysoperated a sales office in the 8th arrondissement.[23]
There are two public sixth-form colleges (lycée) in the 8th arrondissement:Lycée ChaptalandLycée Racine.[24]
Private high schools:
TheÉcole de langue japonaise de Paris(パリ日本語補習校Pari Nihongo Hoshūkō), asupplementary Japanese education programme, has its offices at theAssociation Amicale des Ressortissants Japonais en France(AARJF) in the 8th arrondissement.[25]The classes are held at theÉcole Maternelle et Primaire Saint Francois d'Eylauin the16th arrondissement.[26][27]
Intégrale : Institut d'enseignement supérieur privéhas one of its campuses in the 8th arrondissement.
Harvard Business School's Europe Research Centre is located in rue Francois 1er.[28]"
9rd,Erreur 404: Impossible d'accéder à la page '9rd'.
10th,"The10th arrondissement of Paris(Xearrondissement) is one of the 20arrondissementsof the capital city ofFrance. In spoken French, the arrondissement is referred to asle dixième([dizjɛm]; ""the tenth"", formallyle dixième arrondissement de Paris). In 2020, it had a population of 83,459.
The arrondissement, called Entrepôt (warehouse), is situated on theright bankof theRiver Seine. It contains two of Paris's six mainrailway stations: theGare du Nordand theGare de l'Est. Built during the 19th century, these twoterminiare among thebusiest in Europe. The 10th arrondissement also contains a large portion of theCanal Saint-Martin, linking the northeastern parts of Paris with the Seine.
The current mayor of the 10th arrondissement is Alexandra Cordebard since 2017.[2]
The land area of the arrondissement is 2.892 km2(1.117 sq mi; 715 acres).
The 10th arrondissement is often referred to asl'Entrepôt. Like all Parisian arrondissements, it is divided into four quartiers (districts):[3]
The peak population of the 10th arrondissement occurred in 1881, when it had 159,809 inhabitants. Today, the arrondissement remains very dense in both population and business activity, with 89,612 inhabitants and 71,962 jobs at last census in 1999. Due to its largeTurkish minority, the 10th arrondissement is often called ""La Petite Turquie"" (Little Turkey).[4]
2An immigrant is a person born in a foreign country not having French citizenship at birth. An immigrant may have acquired French citizenship since moving to France, but is still considered an immigrant in French statistics. On the other hand, persons born in France with foreign citizenship (the children of immigrants) are not listed as immigrants."
11th,"The11th arrondissement of Paris(XIearrondissement) is one of the 20arrondissementsof the capital city ofFrance. In spoken French, the arrondissement is referred to asle onzième([ɔ̃zjɛm]; ""the eleventh"").
The arrondissement, called Popincourt, is situated on theright bankof theRiver Seine. It is one of themost densely populated urban districtsof any European city. In 2020, it had a population of 144,292. It is the best-served Parisian arrondissement in terms of number ofMétrostations, at 25.[2]
Its borders are marked by three large squares: thePlace de la Républiqueto the northwest, thePlace de la Bastilleto the southwest, as well as thePlace de la Nationto the southeast.
The 11th arrondissement is a varied and engaging area. To the west lies thePlace de la République, which is linked to thePlace de la Bastille, in the east, by the sweeping, tree-linedBoulevard Richard-Lenoir, with its large markets and children's parks. The Place de la Bastille and theRue du Faubourg Saint-Antoineare full of fashionable cafés, restaurants, as well as nightlife; they also contain a range of boutiques and galleries. TheOberkampfdistrict to the north is another popular area for nightlife. The east is more residential, with more wholesale commerce, while the areas aroundBoulevard VoltaireandAvenue Parmentierare livelier crossroads for the local community. In recent years this area has emerged as one of the trendiest parts of Paris.
On 13 November 2015, the arrondissement was the site (among others) ofcoordinated Islamic shootings and bombings, particularly at theBataclantheatre, which left 130 dead. About 20 years earlier,another attackhad taken place.[3]
The land area of this arrondissement is 3.666 km2(1.415 sq mi; 906 acres).
The peak population of Paris's 11th arrondissement occurred in 1911, with 242,295 inhabitants. Today, the arrondissement remains the most densely populated in Paris, accompanied by a large volume of business activity: 149,102 inhabitants and 71,962 jobs in the last census, in 1999.
The population consists of a large number of single adults, though its eastern portions are more family-oriented. There is a strong community spirit in most areas of the eleventh, and it is interspersed with pleasant squares and parks.
2An immigrant is a person born in a foreign country not having French citizenship at birth. An immigrant may have acquired French citizenship since moving to France, but is still considered an immigrant in French statistics. On the other hand, persons born in France with foreign citizenship (the children of immigrants) are not listed as immigrants."
